timestamp,open,high,low,close,volume
2023-12-08,2355.34,2393.66,2335.35,2358.25,98088.92089716
2023-12-09,2358.47,2403.4,2328.49,2340.74,78978.84094126
2023-12-10,2340.74,2376.98,2322.23,2352.38,51124.82826534
2023-12-11,2352.39,2354.92,2141.13,2225.0,229433.91455215
2023-12-12,2224.82,2243.69,2166.3,2203.37,144954.94495304
2023-12-13,2203.38,2284.34,2145.36,2260.2,142218.8292044
2023-12-14,2260.21,2331.68,2230.0,2315.45,106952.76698681
2023-12-15,2315.45,2317.52,2199.84,2220.61,81115.38618386
2023-12-16,2220.62,2263.4,2210.26,2228.97,50519.08424443
2023-12-17,2228.98,2248.59,2190.65,2196.34,56265.13592274
2023-12-18,2196.84,2223.68,2117.84,2219.24,94343.26880801
2023-12-19,2219.24,2255.0,2136.23,2177.97,81626.1612353
2023-12-20,2177.98,2265.93,2157.58,2202.24,99582.14992148
2023-12-21,2202.24,2279.03,2183.35,2239.48,138677.3406186
2023-12-22,2239.48,2342.52,2230.83,2324.51,163399.57683608
2023-12-23,2324.51,2330.42,2265.0,2308.11,50994.4972309
2023-12-24,2308.0,2325.87,2243.0,2263.91,63299.68953309
2023-12-25,2263.92,2304.99,2253.26,2271.34,59040.17703896
2023-12-26,2271.09,2274.93,2178.69,2230.65,70738.64290042
2023-12-27,2230.65,2391.98,2212.22,2378.2,73170.11199557
2023-12-28,2378.21,2445.55,2332.93,2344.25,95466.83180724
2023-12-29,2344.25,2385.07,2255.93,2299.22,76008.0098833
2023-12-30,2299.23,2323.05,2267.89,2291.62,39738.56300242
2023-12-31,2291.62,2322.19,2259.1,2282.04,36019.66466661
2024-01-01,2282.05,2351.85,2265.31,2351.72,32992.14222215
2024-01-02,2351.73,2430.71,2341.51,2355.6,73011.65671364
2024-01-03,2355.6,2384.93,2071.74,2209.79,163943.64189163
2024-01-04,2209.8,2294.01,2201.75,2266.81,82907.69814715
2024-01-05,2267.26,2277.01,2206.35,2268.13,106134.72962087
2024-01-06,2268.27,2269.6,2216.26,2240.37,36312.86353976
2024-01-07,2240.65,2257.62,2204.58,2221.85,49499.69751106
2024-01-08,2221.86,2358.09,2166.8,2330.6,92573.96397899
2024-01-09,2330.6,2374.53,2227.0,2344.19,103844.9635612
2024-01-10,2344.2,2642.64,2340.13,2584.06,173586.58214144
2024-01-11,2584.06,2688.73,2566.04,2618.2,113142.12837797
2024-01-12,2617.76,2717.41,2457.48,2522.36,177747.29993653
2024-01-13,2522.59,2589.99,2497.35,2578.28,83120.1871118
2024-01-14,2578.29,2578.54,2470.01,2473.0,66215.42550066
2024-01-15,2472.63,2553.67,2470.91,2512.22,59468.53960349
2024-01-16,2512.23,2613.53,2500.24,2587.56,80556.74620388
2024-01-17,2587.56,2592.93,2506.73,2529.99,77882.55038469
2024-01-18,2530.25,2549.65,2428.53,2470.25,85144.33894435
2024-01-19,2470.88,2504.16,2415.57,2492.05,84084.45589219
2024-01-20,2492.05,2492.05,2454.16,2472.01,25932.51305027
2024-01-21,2472.01,2482.0,2451.92,2457.0,20513.63732198
2024-01-22,2457.01,2466.02,2303.56,2314.35,104852.01604145
